repo-url	repo-name	repo-description	author-name	author-url	repo-tags
Veracode_Delete_Sandbox	A simple example script to delete a Sandbox if it exists in a Veracode application profile and you have the appropriate permissions.	Christyson	Automating common Veracode Platform tasks, Sandbox, Deletion, Automation Script	https://github.com/christyson/veracode_delete_sandbox	https://github.com/christyson/
Bulk add teams to workspaces	Allows for adding teams to workspaces in bulk.	Cadonuno	Automating common Veracode Platform tasks, SCA, Workspaces, Team Management, Bulk Processing, Automation Script	https://github.com/cadonuno/add-team-to-workspace	https://github.com/cadonuno/
Veracode Bulk User Permissions	This script allows for bulk setting of roles and permissions for Veracode users.	Cadonuno	Automating common Veracode Platform tasks, User Management, Permissions, Bulk Processing, Automation Script	https://github.com/cadonuno/Veracode-Bulk-Team-Assignment	https://github.com/cadonuno/
Check Build Status	Script to check if an application profile in Veracode has a build running currently.  It also provides an option to delete the build if there is one running.	Christyson	Automating common Veracode Platform tasks, Concurrency, Scan Status, Automation Script	https://github.com/christyson/check_build_status	https://github.com/christyson/
Check Pass Fail	A simple example script to check pass/fail status of a Veracode app profile, or sandbox, or for a list of app profiles without sandboxes.	Christyson	Automating common Veracode Platform tasks, Scan Results, Evaluation, Automation Script	https://github.com/christyson/check_pass_fail	https://github.com/christyson
VcodeAutoMitigate	Command line app that mitigates flaws in Veracode based on CWE, scan type, and specific text in the description.	Brian1917	Automating common Veracode Platform tasks, Mitigations, Automation Script	https://github.com/brian1917/vcodeAutoMitigate	https://github.com/brian1917/
VcodeMitigationExpire	Utility designed to be run on a regular cadence, e.g., weekly cron job, to expire mitigations. The types of mitigations, expiration references, and other settings are controlled in a JSON config file.	Brian1917	Automating common Veracode Platform tasks, Mitigations, Automation Script	https://github.com/brian1917/vcodeMitigationExpire	https://github.com/brian1917/
Veracode Break the Build by Severity	This project contains three python scripts useful for working with Veracode projects in a build pipeline to break the build if any findings of a given severity or higher are found.	Christyson	Automating common Veracode Platform tasks, Scan Results, Evaluation, Automation Script	https://github.com/christyson/Veracode-Break-The-Build-By-Severity	https://github.com/christyson/
Veracode Create List of Sandboxes	This plugin creates a list of sandboxes in all available application profiles.	Cadonuno	Automating common Veracode Platform tasks, Sandbox, Bulk Processing, Automation Script	https://github.com/cadonuno/veracode-create-list-of-sandboxes	https://github.com/cadonuno/
Veracode Get All SBOMs	Allows for bulk generation of SBOM json files. It works for both US and EU instances and has support for Upload and Scan and Agent-based scan.	Cadonuno	Automating common Veracode Platform tasks, Bulk Processing, SBOM, SCA, Automation Script	https://github.com/cadonuno/Veracode-Bulk-SBOM	https://github.com/cadonuno/
Veracode Get Single SBOM	Gets the SBOM for a single Application Profile or Workspace/Project pair.	Cadonuno	Automating common Veracode Platform tasks, SBOM, SCA, Automation Script	https://github.com/cadonuno/Veracode-Get-Sbom	https://github.com/cadonuno/
Veracode Mitigation Copier	Copies mitigations from one Veracode profile to another if it's the same flaw based on the following flaw attributes: issueid, cweid, type, sourcefile, and line. The script will copy all proposed and accepted mitigations for the flaw. The script will skip a flaw in the copy_to build if it already has an accepted mitigation.	Tjarrettveracode	Automating common Veracode Platform tasks, Mitigations, Bulk Processing, SAST, SCA, Automation Script	https://github.com/tjarrettveracode/veracode-mitigation-copier	https://github.com/tjarrettveracode/
Veracode SAST Bulk Mitigator	This tool performs bulk mitigation actions on open SAST flaws reported in multiple application profiles. The definitions of what to mitigate, e.g. file name, line number, and the mitigation comments and actions to apply are defined via a JSON file. Application profile names to target are specified via a text file or alternatively a flag can be set to process all application profiles.	antfie	Automating common Veracode Platform tasks, SCA, Mitigations, Bulk Processing, Automation Script	https://github.com/antfie/veracode_bulk_mitigator	https://github.com/antfie/
Veracode PDF Reports	Pulls latest PDF reports from Veracode for recent Static and Dynamic scans.	Jphillips-vc	Automating common Veracode Platform tasks, Scan Results, PDF, SAST, DAST, Automation Script	https://github.com/jphillips-vc/veracode-pdf-reports	https://github.com/jphillips-vc
Veracode Policy Examples	A collection of example application security policies as code that can be added to your Veracode organization account.	Tjarrettveracode	Automating common Veracode Platform tasks, Security Policy, Automation Example	https://github.com/tjarrettveracode/veracode-policy-examples	https://github.com/tjarrettveracode
Veracode Promote Named Sandbox	This will promote the latest scan of a named sandbox.	Cadonuno	Automating common Veracode Platform tasks, Sandbox, Promotion, SAST, Automation Script	https://github.com/cadonuno/Veracode-Promote-Named-Sandbox	https://github.com/cadonuno/
